,0
0,3031946.09368864
1,3059217.154841974
2,3079707.5044653076
3,3093514.2153286403
4,3092081.9339686413
5,3085864.24362864
6,3091237.496338641
7,3103524.282568641
8,3101134.607978641
9,3058762.8993486413
10,3039317.807611974
11,2999808.1305719744
12,2974091.1522319736
13,2984721.6140319733
14,2954779.0739719737
15,2933912.980071974
16,2885465.3161119735
17,2925296.2557719736
18,2917560.9326219736
19,2914085.8866219735
20,2975111.4398119743
21,2996743.267311974
22,2997135.0156019735
23,2988496.503201974
24,2984466.4934619735
25,2970367.3470619735
26,3015905.1284619737
27,3016602.830341974
28,3067330.9588419744
29,3087153.8430919736
30,3052390.5607919744
31,3080428.960891973
32,3084143.4979319735
33,3069611.882001974
34,3071847.465321974
35,3081273.5086919735
36,3075109.609161974
37,3083625.784361974
38,3082685.0856019743
39,3096924.824761974
40,3118599.5935619734
41,3114346.786961974
42,3095204.232111974
43,3076372.182145307
44,3084154.6488286406
45,3109540.16741864
46,3128336.105348641
47,3122713.448428641
48,3162930.833368641
49,3245544.033501975
50,3251758.0235019745
51,3261008.7668353072
52,3302875.3135019736
53,3260922.746835307
54,3283537.7701686407
55,3296581.6768353074
56,3327969.1268353066
57,3341785.606835307
58,3335936.7535019736
59,3329823.65016864
60,3345579.7668353077
61,3325725.1801686403
62,3316448.236835307
