,0
0,2456913.815486755
1,2524331.1133767553
2,2495071.6352167553
3,2448632.067686755
4,2445833.8801367553
5,2448785.505396755
6,2444475.984896756
7,2512846.471396756
8,2485632.7598967557
9,2529058.3167167557
10,2553665.8396267556
11,2553901.3242367557
12,2540509.288696755
13,2609193.111436756
14,2621564.0412167558
15,2665746.329646756
16,2680886.2596467556
17,2723543.3596467557
18,2796926.239646755
19,2777337.3696467555
20,2792660.6496467553
21,2749678.0696467557
22,2760634.119646756
23,2822039.9196467553
24,2837596.1996467556
25,2860006.1096467553
26,2794680.4896467556
27,2897515.8196467552
28,2940214.309646756
29,2927768.649646756
30,2933947.329646756
31,2914593.329646756
32,2913493.7696467554
33,2920925.5096467556
34,2919562.4396467553
35,2957545.289646756
36,2966242.3596467553
37,2972969.4496467556
38,2921093.6296467558
39,2937771.0696467557
40,2988717.269646756
41,2986178.5996467555
42,3001521.529646756
43,2955898.1596467556
44,2910964.999646756
45,2909447.3796467558
46,2940501.6096467557
47,2914590.2996467557
48,2973145.6296467558
49,2984398.6196467555
50,2973787.079646756
51,2913498.0396467554
52,2889099.8596467553
53,2873509.829646756
54,2889971.229646756
55,2965350.819646756
56,2933195.6996467556
57,2952318.7396467556
58,2964071.7996467557
59,2929905.479646756
60,2959515.519646756
61,2957319.7596467556
62,2970251.7496467554
