,0
0,0.491512789000012
1,-2.925947815999994
2,-4.643956753000012
3,-0.27981875499999154
4,0.2951625259999652
5,-0.43095204999991693
6,6.837048650000012
7,-2.721371150000021
8,4.342555682000006
9,2.4607522909999826
10,0.02354846100001596
11,-1.3392035540000535
12,6.8683822740000675
13,1.237092977999989
14,4.418228843000019
15,1.5139929999999702
16,4.265710000000009
17,7.338287999999943
18,-1.9588869999999647
19,1.5323279999999795
20,-4.2982579999999615
21,1.095605000000028
22,6.140579999999935
23,1.5556280000000262
24,2.2409909999999686
25,-6.532561999999965
26,10.283532999999961
27,4.269849000000069
28,-1.244566000000015
29,0.6178680000000168
30,-1.9354
31,-0.10995600000005216
32,0.7431740000000224
33,-0.13630700000002982
34,3.798285000000056
35,0.8697069999999367
36,0.6727090000000316
37,-5.187581999999984
38,1.6677439999999946
39,5.094620000000019
40,-0.25386700000003914
41,1.5342930000000634
42,-4.562337000000058
43,-4.493315999999968
44,-0.1517620000000112
45,3.1054229999999983
46,-2.5911310000000056
47,5.855533000000007
48,1.1252989999999758
49,-1.0611539999999573
50,-6.0289040000000504
51,-2.4398180000000167
52,-1.559002999999933
53,1.6461399999999908
54,7.537959000000032
55,-3.215512000000058
56,1.9123040000000038
57,1.1753060000000057
58,-3.4166319999999835
59,2.961004000000004
60,-0.21957600000002422
61,1.2931989999999758
