,0
0,1309102.0386443217
1,1325216.154534322
2,1331711.768484322
3,1327004.372944322
4,1336448.519264322
5,1330576.1223143218
6,1329118.8138843218
7,1338454.0874343216
8,1327506.6632543218
9,1331221.0444443221
10,1306522.775844322
11,1305012.927294322
12,1294229.942311822
13,1305010.0673118217
14,1303051.5073118217
15,1311936.674811822
16,1322509.247311822
17,1327907.322311822
18,1327445.619811822
19,1321822.069811822
20,1311033.2798118219
21,1316922.9898118218
22,1315616.3948118219
23,1343283.4273118218
24,1339180.3748118219
25,1338811.4048118219
26,1333620.757311822
27,1347698.462311822
28,1346666.3973118218
29,1360251.0348118218
30,1372492.7823118218
31,1388544.039811822
32,1387765.281061822
33,1387981.0273118222
34,1395275.952311822
35,1395054.379811822
36,1393711.2748118218
37,1385924.702311822
38,1389258.004811822
39,1387373.629811822
40,1411635.759811822
41,1400568.117311822
42,1406678.612311822
43,1399763.0923118219
44,1395323.6473118218
45,1392477.567311822
46,1394886.1273118218
47,1392732.972311822
48,1394342.037311822
49,1395239.5398118217
50,1395999.4823118218
51,1397538.3348118218
52,1385040.689811822
53,1382685.7023118217
54,1353672.2173118219
55,1352187.9323118217
56,1352199.847311822
57,1344276.5073118217
58,1339633.8773118218
59,1354230.987311822
60,1350189.4373118219
61,1358206.194811822
62,1350477.0523118218
