,0
0,1059862.786330299
1,1045292.4178175156
2,1051490.1866640327
3,1039454.0247252107
4,1041959.4177386055
5,1039546.9043580166
6,1049076.3491182672
7,1057962.4890875842
8,1057748.1170250769
9,1057973.072505576
10,1065327.322764068
11,1066613.5879995425
12,1065509.8479440978
13,1067798.9879460956
14,1064734.0079775641
15,1065248.7279740677
16,1071207.0580305113
17,1073301.1080270146
18,1062448.7380180235
19,1053301.0379775644
20,1059504.707979562
21,1052460.8979356063
22,1047641.4279166253
23,1048915.437889652
24,1050785.8779051367
25,1051127.4578891527
26,1062609.817924118
27,1052471.9379096322
28,1054572.3379241177
29,1043231.5378746672
30,1054763.4079271147
31,1045293.8779226192
32,1038900.4878876543
33,1034142.6378856562
34,1041424.7179151268
35,1042116.5479600817
36,1053198.0479880536
37,1060176.457990052
38,1054446.5279465953
39,1058094.6179560858
40,1052638.3679151267
41,1052835.1279261156
42,1060420.1379590828
43,1062353.6580050369
44,1068588.9480285132
45,1070502.4180320099
46,1072033.3780310107
47,1073318.1680265153
48,1074070.3280160257
49,1069560.1579815603
50,1066122.5279535884
51,1060177.6279401018
52,1062902.0979565855
53,1065069.5179935484
54,1072493.1180005413
55,1075449.6080105312
56,1073656.4280080337
57,1084904.7880310107
58,1048421.7579256161
59,1030704.6378456962
60,1035254.3277722697
61,1055031.9778172246
62,1067713.8078327093
