,0
0,1948459.4413742425
1,1979256.1847075757
2,1932794.097860909
3,1937296.6799575756
4,1974352.0452675757
5,1955478.9100609093
6,1982454.2807042424
7,1968797.611997576
8,1988186.9083242423
9,2006716.0825875755
10,1992886.2574075758
11,1992250.7916142424
12,1990258.5540575755
13,1990258.5540575755
14,1990258.5540575755
15,1990258.5540575755
16,1990258.5540575755
17,1990258.5540575755
18,1990258.5540575755
19,1990258.5540575755
20,1990258.5540575755
21,1990258.5540575755
22,1990258.5540575755
23,1990258.5540575755
24,1990258.5540575755
25,1990258.5540575755
26,1990258.5540575755
27,1990258.5540575755
28,1990258.5540575755
29,1990258.5540575755
30,1990552.0393909088
31,1990328.341390909
32,1990210.5387242425
33,1995606.963724243
34,1990046.578724243
35,1992473.9717242427
36,1988887.035057576
37,1989100.4373909095
38,1964914.766724243
39,1987328.185724243
40,1966116.2782042432
41,1982535.0782042432
42,1997962.9382042428
43,1995166.638204243
44,2025224.678204243
45,2031234.618204243
46,2040887.5582042432
47,2039087.5982042432
48,2037518.0182042432
49,2028648.8182042432
50,2030827.538204243
51,2027383.718204243
52,2013073.938204243
53,1993035.718204243
54,1990317.518204243
55,1973851.838204243
56,1988657.5382042432
57,1960799.738204243
58,1961309.8182042432
59,1945619.0382042432
60,1951411.078204243
61,1954589.2982042432
62,1952634.7190642431
