,0
0,2752400.030685993
1,2712849.616142139
2,2694787.359021436
3,2730841.4047809406
4,2731006.4897441175
5,2729002.409466696
6,2716371.3299465138
7,2704872.8186883363
8,2665851.6444707583
9,2594129.6312789614
10,2635845.67652055
11,2680590.6131019043
12,2672693.786303545
13,2693417.4692500294
14,2717282.3590037795
15,2708194.3274087533
16,2697095.7619564356
17,2715823.538734951
18,2687612.078424743
19,2675741.499794769
20,2694313.369596383
21,2663628.7636528425
22,2683077.0202871123
23,2696168.933208831
24,2683254.4777437793
25,2692223.0388229983
26,2696492.9596734405
27,2683244.839270836
28,2675137.1173826596
29,2675569.7966171647
30,2667111.0639961753
31,2623031.756926462
32,2599273.583342138
33,2613975.4544188315
34,2648784.2949944823
35,2649000.278252321
36,2654005.1857459154
37,2630956.505020628
38,2657811.031036722
39,2652749.9917851333
40,2639725.8724234668
41,2629654.1788081806
42,2640402.009278259
43,2633415.0736777117
44,2627772.804490212
45,2617743.450015576
46,2602437.550742347
47,2577916.9424420604
48,2601433.984982347
49,2579354.7577736233
50,2618596.7588317483
51,2613125.977090186
52,2590733.2032551337
53,2546235.3508746387
54,2555536.7491311757
55,2598307.1056552636
56,2649078.9290968003
57,2664031.028821462
58,2671721.641199248
59,2643832.618720862
60,2647631.0887274253
61,2606992.5825379975
62,2662928.339293493
