,0
0,2114689.1266070865
1,2115207.285023753
2,2115004.72736042
3,2115020.22736042
4,2114988.22736042
5,2114999.22736042
6,2114964.72736042
7,2114951.22736042
8,2114931.72736042
9,2114963.72736042
10,2114959.22736042
11,2114962.22736042
12,2114944.72736042
13,2114935.22736042
14,2114962.72736042
15,2114985.22736042
16,2114972.72736042
17,2114981.72736042
18,2115000.22736042
19,2115032.22736042
20,2115032.22736042
21,2115049.72736042
22,2115106.72736042
23,2115105.72736042
24,2115133.22736042
25,2115111.22736042
26,2115214.22736042
27,2115178.22736042
28,2115157.22736042
29,2114982.72736042
30,2114961.72736042
31,2114978.72736042
32,2114953.22736042
33,2114994.72736042
34,2115069.72736042
35,2115060.72736042
36,2115082.72736042
37,2115120.22736042
38,2115100.72736042
39,2115177.72736042
40,2115190.22736042
41,2115117.72736042
42,2115041.72736042
43,2115024.22736042
44,2114982.72736042
45,2114958.22736042
46,2114923.72736042
47,2114986.22736042
48,2114970.72736042
49,2115041.72736042
50,2115009.22736042
51,2114976.72736042
52,2114972.72736042
53,2114908.72736042
54,2114927.72736042
55,2114920.22736042
56,2114975.22736042
57,2114949.22736042
58,2115393.29036042
59,2117663.76086042
60,2121468.77486042
61,2122212.8724437533
62,2127329.0551937534
