,0
0,2127329.0551937534
1,2122251.2447770867
2,2119300.3369437535
3,2124984.728943754
4,2142836.564527087
5,2141175.1414437536
6,2141170.1414437536
7,2141191.6414437536
8,2141212.1414437536
9,2141465.7814437533
10,2138098.417443753
11,2138058.1344437534
12,2143940.2844437533
13,2141174.908443753
14,2140086.093443753
15,2140090.593443753
16,2140070.593443753
17,2140093.593443753
18,2140147.093443753
19,2138968.9964437527
20,2138855.356443753
21,2132692.4014437525
22,2137802.9834437533
23,2138244.3724437533
24,2137552.8944437536
25,2137589.3944437536
26,2137633.8944437536
27,2137574.8944437536
28,2137680.3944437536
29,2137898.3944437536
30,2137862.8944437536
31,2137785.8944437536
32,2137814.3944437536
33,2137772.3944437536
34,2137801.8944437536
35,2137880.3944437536
36,2137855.8944437536
37,2137871.3944437536
38,2137867.3944437536
39,2137847.3944437536
40,2137870.3944437536
41,2137885.8944437536
42,2137844.8944437536
43,2137789.8944437536
44,2137768.8944437536
45,2137781.8944437536
46,2137750.3944437536
47,2137709.3944437536
48,2137714.3944437536
49,2137709.3944437536
50,2137712.8944437536
51,2137740.3944437536
52,2137743.8944437536
53,2137751.3944437536
54,2137730.8944437536
55,2137739.8944437536
56,2137754.8944437536
57,2137730.6444437536
58,2137769.3944437536
59,2137768.8944437536
60,2137740.3944437536
61,2137823.8944437536
62,2137882.8944437536
