,0
0,2310812.489923757
1,2313567.839923757
2,2313385.2549237576
3,2313385.2549237576
4,2313385.2549237576
5,2313385.2549237576
6,2313385.2549237576
7,2312362.345923757
8,2312175.271923758
9,2312259.7329237578
10,2312072.922923758
11,2312072.922923758
12,2312072.922923758
13,2312072.922923758
14,2312072.922923758
15,2312072.922923758
16,2312072.922923758
17,2312072.922923758
18,2312072.922923758
19,2312072.922923758
20,2312072.922923758
21,2312072.922923758
22,2312072.922923758
23,2312072.922923758
24,2312072.922923758
25,2312072.922923758
26,2312072.922923758
27,2312072.922923758
28,2312072.922923758
29,2312072.922923758
30,2312072.922923758
31,2312072.922923758
32,2312072.922923758
33,2312072.922923758
34,2312072.922923758
35,2312072.922923758
36,2312072.922923758
37,2312072.922923758
38,2312072.922923758
39,2312072.922923758
40,2312072.922923758
41,2312969.530923758
42,2312006.0519237584
43,2311623.8659237586
44,2311623.8659237586
45,2311623.8659237586
46,2311623.8659237586
47,2311623.8659237586
48,2311623.8659237586
49,2311623.8659237586
50,2311623.8659237586
51,2311623.8659237586
52,2311623.8659237586
53,2311623.8659237586
54,2311623.8659237586
55,2311623.8659237586
56,2311623.8659237586
57,2311623.8659237586
58,2311623.8659237586
59,2311623.8659237586
60,2311623.8659237586
61,2311623.8659237586
62,2311623.8659237586
