,0
0,0.15606519999993035
1,-0.018509199999971315
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,-0.020600800000038
23,-0.09069909999999218
24,0.6051367999999784
25,-0.1322711999999825
26,1.2304571000000462
27,-0.09646399999996648
28,0.0
29,-0.14488450000002048
30,0.01264089999999851
31,-0.3355750999999698
32,-1.219669700000016
33,-0.3729695999999996
34,0.044701200000057
35,1.8808906000000425
36,-3.9247808000000197
37,-0.5649925999999978
38,-2.3336319000000136
39,-2.1073003999999727
40,0.4149894999999553
41,-2.6858466000000014
42,0.019758600000012668
43,2.6247240160000045
44,1.7937899999999907
45,1.9241810000000057
46,2.481659999999963
47,-10.234414999999945
48,0.8401669999999926
49,0.6392059999999591
50,-1.7126319999999833
51,1.1703739999999758
52,-2.417766000000015
53,-5.489014999999944
54,0.20090000000000002
55,-3.7093490000000227
56,-3.4287810000000056
57,-0.5149259999999777
58,4.169737999999989
59,-3.2486169999999928
60,-4.3934229999999985
61,5.738231999999983
