,0
0,2036036.6541070868
1,2038910.1020870868
2,2051965.3720870868
3,2112243.2620870867
4,2063964.6720870866
5,2083943.042087087
6,2099210.622087087
7,2099529.0720870867
8,2101988.512087087
9,2064902.4520870869
10,2055787.012087087
11,2065092.9820870871
12,2061567.9320870868
13,2089512.072087087
14,2064443.112087087
15,2040048.3420870868
16,1991739.132087087
17,1926706.4620870869
18,1952802.8020870867
19,1991320.632087087
20,1972775.3120870867
21,1954232.5620870867
22,1957894.8820870868
23,1945176.1320870868
24,1937303.132087087
25,1951136.852087087
26,1954776.3120870867
27,1968099.6920870868
28,1970270.2220870869
29,1953921.2120870869
30,1994728.3820870866
31,2004906.9520870866
32,2016500.0020870867
33,2030686.7820870867
34,2058641.8920870868
35,2053460.9520870869
36,2048403.3820870868
37,2051295.5720870867
38,2058595.3720870868
39,2060062.022087087
40,2033940.6820870868
41,2028127.6820870868
42,2013605.0120870867
43,2036182.6820870866
44,2044544.0820870867
45,2082557.002087087
46,2077115.7720870867
47,2085426.5020870867
48,2095896.4920870871
49,2111783.562087087
50,2100110.462087087
51,2079442.5720870867
52,2085748.752087087
53,2108324.722087087
54,2161946.512087087
55,2173615.442087087
56,2193507.812087087
57,2202610.692087087
58,2137166.4820870864
59,2138921.142087087
60,2137224.632087087
61,2116843.672087087
62,2114689.1266070865
