,0
0,1964793.3665515496
1,1956839.67354155
2,1954876.9957415499
3,1954888.04574155
4,1954876.14574155
5,1954889.7457415499
6,1954941.59574155
7,1954998.37574155
8,1957019.2552115503
9,1967363.6721521183
10,2000914.4079602964
11,1965653.6870242422
12,1963745.1119704198
13,1963751.4119704196
14,1963805.6619704196
15,1963844.5119704197
16,1963913.1119704198
17,1963858.1619704196
18,1963908.5619704197
19,1963858.5119704197
20,1963793.7619704197
21,1963712.5619704197
22,1963713.9619704196
23,1963734.9619704196
24,1963710.1119704198
25,1963692.2619704197
26,1963626.4619704196
27,1963594.9619704196
28,1963633.1119704198
29,1963715.0119704197
30,1963692.6119704198
31,1963771.7119704196
32,1963675.8119704197
33,1963678.6119704198
34,1963649.2119704196
35,1963732.5119704197
36,1963760.8619704198
37,1963795.5119704197
38,1963704.1619704196
39,1963688.0619704197
40,1963645.3619704198
41,1963676.1619704196
42,1963636.6119704198
43,1963599.8619704198
44,1963775.2119704196
45,1963846.6119704198
46,1963913.1119704198
47,1963980.6619704196
48,1964015.3119704197
49,1963992.5619704197
50,1963989.0619704197
51,1964018.1119704198
52,1964062.9119704196
53,1964079.3619704198
54,1964123.1119704198
55,1964152.5119704197
56,1964232.3119704197
57,1964303.3619704198
58,2038271.3372137535
59,2036166.0441070867
60,2036178.0141070867
61,2036132.9841070867
62,2036036.6541070868
