,0
0,2.297698071638402
1,-1.6632191509244032
2,2.8868240553627724
3,0.36440499443043955
4,-0.10566898516835645
5,-1.618275061584497
6,-0.4115069295247086
7,2.5696845601399896
8,5.562841557820561
9,-0.3921708433634136
10,1.807120563028939
11,-1.1855775218302385
12,3.314638267883379
13,-3.992383407307975
14,0.09461101725259796
15,1.9792021029866302
16,-2.8419508416950703
17,5.4745545388183094
18,-0.5633737324218732
19,-9.292209823628701
20,0.0889224898884073
21,2.538510843668692
22,3.60962562784832
23,-1.2465917615966873
24,0.235479075256316
25,-3.2053531200968663
26,0.8575736071167515
27,4.4376377114257775
28,0.5341064083657694
29,-0.6768097168374807
30,-0.4727145919799805
31,3.7930061958617998
32,1.987891565246554
33,-0.6689063784789294
34,-2.71827330767829
35,0.5073610879516695
36,-2.7419830534668175
37,0.014890028869686649
38,1.825035542602511
39,0.38766869726562875
40,2.198725583740231
41,-0.7230008834839333
42,0.6169504044800997
43,0.8959493134154939
44,2.2091020009155384
45,-8.479704233032233
46,-2.049673010070855
47,-2.66779310156242
48,-0.13682274065837266
49,4.107756473468803
50,1.7185816886520013
51,-1.16367097099307
52,-1.4649248523944058
53,-4.024137419303926
54,0.1846674028092064
55,3.7704283662910574
56,-0.03722920571519062
57,-2.0150474456825296
58,-4.114559502212517
59,-0.3073394363594242
60,-5.552863432895672
61,-1.6072329051398673
