,0
0,2621752.1841467544
1,2684870.485356754
2,2651250.985356754
3,2645264.2653567544
4,2630336.2453567544
5,2598826.2853567544
6,2615647.6453567543
7,2625774.0753567545
8,2607981.1153567545
9,2596064.7553567546
10,2583023.6753567546
11,2558906.315356754
12,2549870.6653567543
13,2477056.4853567546
14,2450546.7553567546
15,2496749.4353567543
16,2527720.2253567544
17,2517082.165356755
18,2687574.7653567544
19,2682851.5353567544
20,2734834.275356754
21,2766829.1853567543
22,2729526.2253567544
23,2715816.365356754
24,2709083.065356754
25,2732805.3353567543
26,2768237.9153567543
27,2709587.6353567545
28,2683299.3753567543
29,2680580.7153567546
30,2718360.3253567545
31,2723182.6053567543
32,2675699.0653567547
33,2661387.4253567546
34,2642340.4053567545
35,2582246.6453567543
36,2602036.1653567543
37,2640066.7453567544
38,2617995.5853567547
39,2519827.735356754
40,2537330.5053567546
41,2529380.195356754
42,2464275.5153567544
43,2353230.8953567543
44,2355219.4853567546
45,2445997.6153567545
46,2426232.7853567544
47,2408059.235356754
48,2439979.0553567545
49,2503043.9253567546
50,2562180.2153567546
51,2592738.4753567544
52,2644972.8053567545
53,2624711.985356754
54,2646691.9753567544
55,2597813.0453567547
56,2628530.7053567544
57,2645547.9653567546
58,2665960.7453567544
59,2723699.1953567546
60,2693750.2553567546
61,2661845.4653567546
62,2693180.2053567544
