,0
0,3316448.236835307
1,3351115.8375516916
2,3334483.6460424475
3,3363351.8865960753
4,3366995.9365403797
5,3365939.246688696
6,3349756.496072851
7,3345641.426777604
8,3371338.272379004
9,3426966.6879572095
10,3423044.9795235754
11,3441116.185153865
12,3429260.4099355624
13,3462406.792614396
14,3422482.9585413164
15,3423429.0687138424
16,3443221.0897437087
17,3414801.581326758
18,3469547.126714941
19,3463913.3893907224
20,3370991.2911544354
21,3371880.5160533194
22,3397265.6244900064
23,3433361.8807684896
24,3420895.9631525227
25,3423250.753905086
26,3391197.222704117
27,3399772.9587752847
28,3444149.3358895425
29,3449490.3999732
30,3442722.3028048254
31,3437995.1568850256
32,3475925.2188436436
33,3495804.134496109
34,3489115.07071132
35,3461932.337634537
36,3467005.9485140536
37,3439586.1179793854
38,3439735.0182680823
39,3457985.3736941074
40,3461862.0606667637
41,3483849.316504166
42,3476619.3076693267
43,3482788.8117141277
44,3491748.3048482826
45,3513839.324857438
46,3429042.2825271157
47,3408545.552426407
48,3381867.621410783
49,3380499.394004199
50,3421576.958738887
51,3438762.775625407
52,3427126.0659154765
53,3412476.8173915325
54,3372235.443198493
55,3374082.1172265853
56,3411786.400889496
57,3411414.108832344
58,3391263.6343755187
59,3350118.0393533935
60,3347044.6449897992
61,3291516.0106608425
62,3275443.681609444
