,0
0,2121019.7114437544
1,2276467.8344737547
2,2274190.261713755
3,2274167.6417137547
4,2274239.401713755
5,2274178.561713755
6,2274102.1217137547
7,2274171.931713755
8,2274097.051713755
9,2274113.821713755
10,2274159.841713755
11,2274269.821713755
12,2274123.961713755
13,2274165.301713755
14,2274156.721713755
15,2274148.531713755
16,2274176.611713755
17,2274057.6617137548
18,2274128.6417137547
19,2274226.531713755
20,2274206.251713755
21,2274176.611713755
22,2274159.841713755
23,2274160.231713755
24,2274140.731713755
25,2274122.791713755
26,2274190.651713755
27,2274216.001713755
28,2274163.741713755
29,2274194.941713755
30,2274130.981713755
31,2274116.551713755
32,2274006.961713755
33,2274050.6417137547
34,2274039.916713755
35,2274036.601713755
36,2273989.021713755
37,2274061.561713755
38,2294910.7943137554
39,2289720.4643137553
40,2287406.630643755
41,2287420.880643755
42,2287342.880643755
43,2338530.4131037556
44,2336259.1192737557
45,2336329.049273756
46,2336236.919273756
47,2336699.7892737556
48,2336740.859273756
49,2336655.3892737557
50,2336622.089273756
51,2336612.0992737557
52,2336657.609273756
53,2336708.669273756
54,2336656.4992737556
55,2336675.3692737557
56,2336767.4992737556
57,2336831.879273756
58,2336943.989273756
59,2336858.5192737556
60,2336685.359273756
61,2336798.5792737557
62,2336763.0592737556
