,0
0,1368242.0643046845
1,1386529.4328666194
2,1376104.0889087808
3,1378016.4503839465
4,1380365.0455186195
5,1385293.7579753906
6,1392888.9972989298
7,1395548.7014296588
8,1408660.9199932867
9,1410970.9558278238
10,1404697.4380040467
11,1420120.1216966175
12,1420295.6958342711
13,1416247.3089703913
14,1420423.1153040887
15,1427453.046688274
16,1452443.3781452908
17,1464209.168887161
18,1462749.677857576
19,1459360.5102075762
20,1448482.8202075763
21,1448350.7002075764
22,1454386.820207576
23,1464526.720207576
24,1469123.2402075762
25,1465279.740207576
26,1464413.500207576
27,1449149.8102075763
28,1445286.510207576
29,1456304.2602075762
30,1455519.5602075763
31,1461550.8402075763
32,1448997.330207576
33,1458998.670207576
34,1454890.550207576
35,1483333.970207576
36,1469623.7402075762
37,1470006.8502075763
38,1477332.7802075758
39,1473729.3402075758
40,1485766.3702075763
41,1505517.6702075764
42,1504750.9602075762
43,1514880.8302075763
44,1515160.5302075762
45,1498248.640207576
46,1508362.270207576
47,1508989.510207576
48,1522437.6802075764
49,1549013.9302075761
50,1532200.540207576
51,1543083.0502075762
52,1554476.1102075763
53,1586004.4202075764
54,1597675.8802075763
55,1599056.7202075762
56,1598287.5602075763
57,1593668.3902075763
58,1592283.550207576
59,1594739.2302075762
60,1594853.4802075762
61,1603948.760207576
62,1597282.8702075763
