,0
0,3125203.5043962705
1,3131140.5163795818
2,3156663.4102967293
3,3191236.981682555
4,3236848.8727148594
5,3324603.8476194036
6,3343538.471298973
7,3328072.9713497953
8,3269468.669504914
9,3269715.2689333856
10,3251989.1528048855
11,3227479.2704880843
12,3296669.5969167566
13,3354745.108922951
14,3330818.06753233
15,3350628.431303999
16,3377628.2468227767
17,3304672.689427966
18,3247338.587812337
19,3180554.33337401
20,3210856.949072877
21,3207982.9501516544
22,3282917.840535893
23,3291150.322599601
24,3276385.1168166157
25,3291311.5064907316
26,3317126.048592885
27,3351545.7300468893
28,3351002.9372818936
29,3363358.6527273906
30,3325239.8441467877
31,3317647.448001342
32,3319436.752117187
33,3357468.141238839
34,3397766.2133048875
35,3390775.333390912
36,3381156.1401925907
37,3410679.246986643
38,3427709.877715632
39,3364696.84977923
40,3362859.3655115
41,3341754.8403661596
42,3296752.915771357
43,3349618.159390894
44,3310064.7922022496
45,3333777.9757593786
46,3366049.859118677
47,3388468.8149339547
48,3421801.9720166265
49,3429780.9338240298
50,3428897.8208730565
51,3455421.067943522
52,3464957.5170265445
53,3499420.0562090552
54,3508304.462274271
55,3479546.6416742955
56,3488537.0945827733
57,3511330.368861948
58,3522188.1864100895
59,3539000.0653827153
60,3556548.7656214396
61,3567729.0937052406
62,3621637.7692070263
