,0
0,1084202.6980917542
1,1095783.5469914544
2,1091056.0197027582
3,1102346.1280878915
4,1105703.365123643
5,1103939.2614475903
6,1110221.6452586823
7,1100816.1335674452
8,1097823.8858915304
9,1092187.247487025
10,1096791.2117879316
11,1091257.3787518798
12,1098032.6758885065
13,1101024.0073669425
14,1105828.9672231707
15,1107631.5341013586
16,1109766.9805049512
17,1113437.3628616915
18,1118822.8003542423
19,1121527.4486383372
20,1117605.4276086886
21,1117009.2226072266
22,1113499.8935668007
23,1106669.5214255918
24,1105349.177584472
25,1097600.0386443217
26,1125215.4286443219
27,1127793.7786443217
28,1161913.1386443218
29,1186858.4686443217
30,1197346.918644322
31,1216930.9186443218
32,1220798.8686443218
33,1205273.8586443218
34,1213260.6586443218
35,1207155.0586443217
36,1211088.778644322
37,1212924.4386443219
38,1218463.578644322
39,1220446.8186443218
40,1214975.0486443217
41,1220576.238644322
42,1237259.8186443218
43,1252903.068644322
44,1246648.3286443218
45,1266127.3786443218
46,1273890.9486443219
47,1289974.2686443217
48,1305040.5386443217
49,1313826.058644322
50,1303620.988644322
51,1307511.0186443217
52,1308384.1086443218
53,1320415.688644322
54,1308690.9286443219
55,1312861.4286443219
56,1324580.038644322
57,1321096.3086443217
58,1318468.758644322
59,1321994.1086443218
60,1322553.8586443218
61,1314561.878644322
62,1309102.0386443217
