,0
0,1350477.0523118218
1,1347236.7555918219
2,1339449.8377018217
3,1341062.714591069
4,1336981.6547452342
5,1337704.9719172746
6,1336353.7318561352
7,1332607.133031182
8,1322791.325687768
9,1336269.6179577904
10,1315235.9165701373
11,1305636.8402774571
12,1321546.4777885904
13,1312706.7084944977
14,1335528.021390951
15,1349157.0406799607
16,1344895.275211791
17,1341791.261988402
18,1334954.4318074079
19,1334842.0904834669
20,1333507.2732007597
21,1333411.961864809
22,1333004.2321962172
23,1334120.9495443963
24,1331705.5678689
25,1330984.9425348183
26,1330984.9425348183
27,1330984.9425348183
28,1330428.5838685064
29,1330249.6022016539
30,1330249.6022016539
31,1330249.6022016539
32,1330249.6022016539
33,1330249.6022016539
34,1330249.6022016539
35,1330686.1948675376
36,1332376.5058713753
37,1332016.591871006
38,1332040.1945387209
39,1330660.9265375175
40,1330339.924546965
41,1333985.3028897122
42,1335892.7248938743
43,1335725.3958965652
44,1332503.731240629
45,1334049.8460264152
46,1340458.3644761764
47,1351320.1108278974
48,1350604.2683571316
49,1359719.8237103152
50,1361817.5570028827
51,1362328.139369281
52,1367719.6042862062
53,1378759.7243560266
54,1375891.994353161
55,1369586.1743192514
56,1366280.1243228333
57,1371106.1943142365
58,1370779.3543166246
59,1363679.554305162
60,1373111.864308983
61,1362839.6142960878
62,1368242.0643046845
