,0
0,3013043.039597391
1,3001086.568688519
2,3013655.6416692757
3,3031433.899087523
4,3020543.121829262
5,3048681.6365109934
6,3045838.1395220496
7,3060039.167431001
8,3071077.401378371
9,3080829.503501479
10,3077609.8883653968
11,3084140.63883626
12,3086161.318772919
13,3047906.549633205
14,3012845.51188792
15,3046493.676948192
16,3084972.2802077206
17,3073870.8060456384
18,3014109.681835638
19,2991073.6183956387
20,2965366.794968972
21,3022775.345482305
22,3022975.0287789716
23,3030262.678245638
24,3007479.742442305
25,2997585.212962305
26,2999137.477238972
27,3009880.1846656385
28,2972592.2537989714
29,3015500.750945639
30,3025552.8022323055
31,3024012.5567223057
32,3003849.499822305
33,2969880.6000956385
34,2947654.371812305
35,2942057.962102305
36,2964929.974235639
37,2943343.1410756386
38,2928755.3889256394
39,2978038.136115639
40,3038674.3029556386
41,3016047.670758972
42,3033037.760685638
43,3045834.5306123053
44,3042708.1872389726
45,3042743.8672156385
46,3061078.9163756385
47,3057738.1247989717
48,3045742.5681323055
49,3074587.854798971
50,3080056.6314656385
51,3032439.074798972
52,3038490.9847989716
53,3028439.4847989716
54,3021696.8681323053
55,3016066.321465639
56,3027930.0847989717
57,3041382.746158972
58,3090370.006158972
59,3122692.6528256387
60,3132324.2728256383
61,3134369.1428256384
62,3094510.3894923055
