,0
0,1067713.8078327093
1,1063554.144072768
2,1062660.0141175785
3,1061989.913432022
4,1077999.8457019578
5,1083919.0502130564
6,1096430.9584608884
7,1098930.2421739176
8,1107521.783188452
9,1108446.7778308692
10,1112947.4428963724
11,1114250.3049276453
12,1119168.107824178
13,1110963.2231493657
14,1117652.6781957543
15,1115880.5082069773
16,1118274.1332271786
17,1116914.0832339122
18,1114828.5582369051
19,1114203.1932369054
20,1109571.1832354087
21,1103833.9181965024
22,1107136.5732189484
23,1107411.8032234374
24,1115364.7582346604
25,1115457.8032316677
26,1113375.8032159556
27,1109264.2782204447
28,1113447.1632346606
29,1102588.5081366464
30,1106500.7081710636
31,1099552.678138891
32,1103610.4281598406
33,1107429.6982039844
34,1106015.6882182
35,1104984.9532241856
36,1108176.9732451353
37,1104895.0332324158
38,1106904.8232630922
39,1104729.2682339125
40,1113269.7682713224
41,1112067.9982608475
42,1108784.2282346606
43,1108070.7532466317
44,1113452.4432750633
45,1114765.4082541135
46,1113846.7782541139
47,1117872.4982832933
48,1099560.583217452
49,1102839.738180042
50,1085636.3131149483
51,1086225.8631403875
52,1095196.2231755527
53,1092442.0581658261
54,1093361.908187524
55,1089266.4431546032
56,1094967.3931673225
57,1097582.908153855
58,1091251.0631299124
59,1082714.5481216821
60,1092168.633154603
61,1096845.4831366464
62,1084202.6980917542
