,0
0,1000000.0
1,997367.7899951956
2,996574.063992766
3,989720.6619828076
4,976441.4959608222
5,969366.6139552821
6,970626.1189393032
7,976859.707076357
8,954649.809941997
9,969129.4426648072
10,946311.4383489289
11,946910.7691163716
12,929243.1481810623
13,932114.8087689803
14,947794.0655521164
15,931994.4327575824
16,948845.2192121628
17,940258.4362771182
18,947022.7960512296
19,968483.2310643247
20,967053.4960812028
21,954860.9211524979
22,964642.9762022588
23,973565.3512211738
24,961503.6312008039
25,953663.9061874178
26,952665.1761981847
27,947298.2461853808
28,929659.7911458048
29,950109.8161810157
30,960177.9012048778
31,977956.6512386339
32,976696.611226412
33,974437.7412121528
34,987832.3812357238
35,973998.1962092428
36,977777.5912153539
37,989695.6912418348
38,987539.6162604588
39,979624.9062566758
40,1004058.0162991618
41,1005193.2662860667
42,1008284.4112854848
43,1012615.1863055638
44,1013419.9162901408
45,1004907.6462630779
46,1010745.0362697709
47,1012145.1862718076
48,1027440.2713151667
49,1024448.1713052727
50,1024041.061302654
51,1027460.3863163309
52,1037600.4313378647
53,1047502.4613454306
54,1046458.3963419388
55,1042851.6113334998
56,1040146.7363314626
57,1040974.9563355367
58,1043144.3363425208
59,1047686.7413297168
60,1051029.3113401928
61,1049586.2663221508
62,1059862.786330299
