,0
0,2336763.0592737556
1,2332566.8609404224
2,2332349.570273756
3,2332351.660273756
4,2332339.450273756
5,2332349.900273756
6,2332345.500273756
7,2332344.950273756
8,2332343.740273756
9,2331701.592273756
10,2331353.9949404225
11,2330904.882923756
12,2332695.681923756
13,2332467.4639237565
14,2330182.3445904236
15,2329958.6179237566
16,2329958.6179237566
17,2329958.6179237566
18,2329958.6179237566
19,2329958.6179237566
20,2329958.6179237566
21,2329958.6179237566
22,2329958.6179237566
23,2329958.6179237566
24,2329958.6179237566
25,2329958.6179237566
26,2329958.6179237566
27,2329958.6179237566
28,2329958.6179237566
29,2329958.6179237566
30,2329958.6179237566
31,2329958.6179237566
32,2329958.6179237566
33,2329958.6179237566
34,2329958.6179237566
35,2329958.6179237566
36,2329958.6179237566
37,2329958.6179237566
38,2329958.6179237566
39,2329958.6179237566
40,2329958.6179237566
41,2329958.6179237566
42,2329958.6179237566
43,2329958.6179237566
44,2329958.6179237566
45,2329958.6179237566
46,2329958.6179237566
47,2329958.6179237566
48,2329958.6179237566
49,2329958.6179237566
50,2329958.6179237566
51,2329958.6179237566
52,2329958.6179237566
53,2329958.6179237566
54,2324480.348590424
55,2325568.66125709
56,2311473.650923757
57,2310812.489923757
58,2310812.489923757
59,2310812.489923757
60,2310812.489923757
61,2310812.489923757
62,2310812.489923757
