,0
0,2140372.841443754
1,2140415.2717770874
2,2140243.488110421
3,2141718.581443755
4,2141546.362443755
5,2140880.809777088
6,2140708.416443755
7,2140708.416443755
8,2140708.416443755
9,2140708.416443755
10,2140708.416443755
11,2140708.416443755
12,2140708.416443755
13,2140708.416443755
14,2140708.416443755
15,2140708.416443755
16,2140708.416443755
17,2140708.416443755
18,2140708.416443755
19,2140708.416443755
20,2140708.416443755
21,2140708.416443755
22,2140708.416443755
23,2140708.416443755
24,2140708.416443755
25,2140708.416443755
26,2140708.416443755
27,2140708.416443755
28,2140708.416443755
29,2140708.416443755
30,2140708.416443755
31,2140708.416443755
32,2140708.416443755
33,2140708.416443755
34,2133732.6474437555
35,2123397.343443755
36,2123066.2334437547
37,2123066.2334437547
38,2121175.772777088
39,2121019.7114437544
40,2121019.7114437544
41,2121019.7114437544
42,2121019.7114437544
43,2121019.7114437544
44,2121019.7114437544
45,2121019.7114437544
46,2121019.7114437544
47,2121019.7114437544
48,2121019.7114437544
49,2121019.7114437544
50,2121019.7114437544
51,2121019.7114437544
52,2121019.7114437544
53,2121019.7114437544
54,2121019.7114437544
55,2121019.7114437544
56,2121019.7114437544
57,2121019.7114437544
58,2121019.7114437544
59,2121019.7114437544
60,2121019.7114437544
61,2121019.7114437544
62,2121019.7114437544
