,0
0,0.024189327999996024
1,-0.7786917890000158
2,0.16128768892472145
3,-0.4081059845834738
4,0.07233171720404644
5,-0.1351240061139455
6,-0.3746598824953195
7,-0.9815807343414054
8,1.3478292270022445
9,-2.103370138765313
10,-0.9599076292680111
11,1.5909637511133217
12,-0.8839769294092665
13,2.282131289645331
14,1.3629019289009738
15,-0.42617654681697026
16,-0.3104013223388931
17,-0.6836830180994236
18,-0.011234132394101471
19,-0.13348172827071977
20,-0.00953113359506242
21,-0.040772966859187
22,0.11167173481790815
23,-0.24153816754962318
24,-0.07206253340817056
25,0.0
26,0.0
27,-0.05563586663119495
28,-0.017898166685248726
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.04365926658837125
35,0.16903110038377345
36,-0.03599140003693756
37,0.0023602667714934795
38,-0.13792680012034253
39,-0.0321001990552526
40,0.3645378342747223
41,0.19074220041621012
42,-0.016732899730908687
43,-0.32216646559361833
44,0.15461147857862526
45,0.6408518449761207
46,1.0861746351720998
47,-0.07158424707658123
48,0.9115555353183532
49,0.20977332925675438
50,0.051058236639830286
51,0.5391464916925179
52,1.1040120069820434
53,-0.2867730002865661
54,-0.630582003390952
55,-0.330604999641818
56,0.48260699914032595
57,-0.032683999761193995
58,-0.7099800011462533
59,0.9432310003821041
60,-1.0272250012895325
61,0.540245000859676
